Sample_Id,Group
barcode01,Crop Digesta
barcode02,Crop Digesta
barcode03,Crop Digesta
barcode04,Crop Digesta
barcode05,Crop Digesta
barcode06,Zymobiomics
barcode07,Zymobiomics
barcode08,Zymobiomics
barcode09,Zymobiomics
barcode10,Zymobiomics
barcode11,Feces
barcode12,Feces
barcode13,Feces
barcode14,Feces
barcode15,Feces
barcode16,Feces
barcode17,Feces
barcode18,Feces
barcode19,Feces
barcode20,Feces
